"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-13-23 / 04:48 PM","Upper","311","CC","2","523.25"
"01-13-23 / 04:48 PM","Lower","148","Y","2","1297.8"
"01-13-23 / 04:48 PM","Lower","138","AA","2","720"
"01-13-23 / 04:48 PM","Middle","237","P","2","795.6"
"01-13-23 / 04:48 PM","Upper","332","T","6","507.78"
"01-13-23 / 04:48 PM","Upper","337","AA","2","715.5"
"01-13-23 / 04:48 PM","Lower","115","F","2","810"
"01-13-23 / 04:48 PM","Upper","312","F","1","513"
"01-13-23 / 04:48 PM","Field","G","3","2","1845"
"01-13-23 / 04:48 PM","Lower","132","S","2","900"
"01-13-23 / 03:37 AM","Upper","306","AA","4","450"
"01-13-23 / 03:37 AM","Lower","132","M","2","949.4"
"01-13-23 / 03:37 AM","Middle","244","K","2","630"
"01-13-23 / 03:37 AM","Lower","108","W","2","996.63"
"01-13-23 / 03:37 AM","Upper","311","P","2","621.08"
"01-12-23 / 10:28 PM","Field","J","30","1","900"
"01-12-23 / 10:28 PM","Hall of Fame Suites","HOFS2","1","2","2250"
"01-12-23 / 05:59 PM","Middle","231","R","2","651.29"
"01-12-23 / 05:59 PM","Middle","236","K","2","899.1"
"01-12-23 / 05:59 PM","Lower","145","X","3","822.5"
"01-12-23 / 01:41 PM","Field","F","1","2","1035"
"01-12-23 / 01:41 PM","Lower","109","T","2","1080"
"01-12-23 / 01:41 PM","Upper","328","V","2","359.1"
"01-12-23 / 04:37 AM","Upper","328","Y","2","441.35"
"01-12-23 / 04:37 AM","Upper","308","CC","2","585"
"01-11-23 / 07:12 PM","Field","E","5","2","1430.75"
"01-11-23 / 07:12 PM","Lower","114","M","3","990"
"01-11-23 / 02:34 PM","Upper","335","F","2","646.99"
"01-11-23 / 02:34 PM","Field","G","5","2","1644.15"
"01-11-23 / 02:34 PM","Lower","115","U","2","1125"
"01-11-23 / 02:22 AM","Middle","235","Y","2","889.62"
"01-11-23 / 02:22 AM","Upper","317","S","2","350.1"
"01-10-23 / 09:45 PM","Upper","338","X","2","450"
"01-10-23 / 09:45 PM","Middle","229","T","3","539.1"
"01-10-23 / 09:45 PM","Field","B","20","4","1080"
"01-10-23 / 09:45 PM","Lower","150","L","2","897.3"
"01-10-23 / 05:38 PM","Lower Suites","LS115","","5","607.5"
"01-10-23 / 05:38 PM","Lower","131","U","4","900"
"01-10-23 / 05:38 PM","Lower","147","Y","2","894.24"
"01-10-23 / 05:38 PM","Upper","316","T","2","429.35"
"01-10-23 / 05:38 PM","Field","E","10","1","1350"
"01-10-23 / 12:21 AM","Middle","208","U","4","810"
"01-09-23 / 08:20 PM","Lower","106","AA","2","697.5"
"01-09-23 / 08:20 PM","Middle","218","H","2","463.5"
"01-09-23 / 05:03 PM","Lower","102","U","2","675"
"01-09-23 / 05:03 PM","Field","M","16","4","1291.5"
"01-09-23 / 05:03 PM","Middle","241","Y","3","694.99"
"01-09-23 / 01:27 PM","Field","E","18","1","1440"
"01-09-23 / 01:27 PM","Upper","309","K","3","450"
"01-09-23 / 01:27 PM","Field","D","20","1","1530"
"01-09-23 / 09:58 AM","Middle","227","M","2","486"
"01-08-23 / 11:39 PM","Field","H","5","1","1164"
"01-08-23 / 07:41 PM","Lower","114","AA","2","810"
"01-08-23 / 12:41 PM","Middle","209","U","2","810"
"01-08-23 / 12:41 PM","Upper","319","L","2","465.75"
"01-08-23 / 03:41 AM","Upper","338","Y","2","466.57"
"01-08-23 / 03:41 AM","Middle","219","K","3","450"
"01-08-23 / 03:41 AM","Upper","307","Z","2","405"
"01-08-23 / 03:41 AM","Field","P","5","1","1566.51"
"01-07-23 / 08:49 PM","Field","A","25","2","1269"
"01-07-23 / 08:49 PM","Field","N","5","2","1450.15"
"01-07-23 / 08:49 PM","Middle","204","M","2","630"
"01-07-23 / 04:57 PM","Middle","218","H","4","463.5"
"01-07-23 / 04:57 PM","Field","G","22","2","1132.01"
"01-07-23 / 04:57 PM","Lower","132","L","2","855"
"01-07-23 / 04:57 PM","Lower","149","V","2","1139.75"
"01-07-23 / 03:18 AM","Field","N","4","4","1455.09"
"01-07-23 / 03:18 AM","Middle","238","X","2","800.25"
"01-07-23 / 03:18 AM","Middle","227","T","1","333.68"
"01-07-23 / 03:18 AM","Middle","229","W","2","697.5"
"01-07-23 / 03:18 AM","Upper","316","BB","2","414"
"01-07-23 / 03:18 AM","Upper","303","H","2","900"
"01-07-23 / 03:18 AM","Field","N","9","4","1385.94"
"01-06-23 / 07:29 PM","Field","K","4","2","1109.4"
"01-06-23 / 03:58 PM","Middle","231","P","4","720"
"01-06-23 / 03:58 PM","Upper","319","H","1","270"
"01-06-23 / 03:58 PM","Lower","138","W","6","996.87"
"01-06-23 / 03:58 PM","Lower","109","P","2","1080"
"01-06-23 / 12:18 PM","Middle","235","DD","2","652.5"
"01-06-23 / 06:02 AM","Field","A","18","1","1800"
"01-06-23 / 06:02 AM","Lower","108","WC","1","450"
"01-06-23 / 02:13 AM","Upper","303","T","3","499.5"
"01-06-23 / 02:13 AM","Upper","319","W","4","396"
"01-05-23 / 06:00 PM","Upper","311","AA","6","585"
"01-05-23 / 06:00 PM","Middle","239","DD","1","899.1"
"01-05-23 / 02:27 PM","Middle","203","P","2","704.71"
"01-05-23 / 02:27 PM","Upper","305","S","2","450"
"01-05-23 / 02:27 PM","Upper","335","J","3","676.2"
"01-05-23 / 02:27 PM","Middle","215","X","4","540"
"01-05-23 / 02:27 PM","Lower","137","G","2","1205.1"
"01-05-23 / 02:27 PM","Upper","342","G","3","646.8"
"01-05-23 / 07:08 AM","Lower","108","B","1","855"
"01-05-23 / 12:42 AM","Middle","235","W","2","810"
"01-05-23 / 12:42 AM","Lower","108","D","1","630"
"01-05-23 / 12:42 AM","Lower","131","U","4","765"
"01-04-23 / 09:05 PM","Field","N","13","2","1519.04"
"01-04-23 / 09:05 PM","Middle","231","S","2","540.08"
"01-04-23 / 05:21 PM","Field","E","","2","1584"
"01-04-23 / 05:21 PM","Upper","309","K","1","517.5"
"01-04-23 / 05:21 PM","Field","N","6","6","2939.99"
"01-04-23 / 05:21 PM","Lower","150","X","2","854.1"
"01-04-23 / 05:21 PM","Middle","231","R","6","707.3"
"01-04-23 / 01:25 PM","Lower","126","N","3","675"
"01-04-23 / 03:25 AM","Middle","244","L","4","750.75"
"01-03-23 / 11:26 PM","Field","F","1","2","1035"
"01-03-23 / 11:26 PM","Field","E","18","1","630"
"01-03-23 / 11:26 PM","Middle","218","N","2","405"
"01-03-23 / 07:26 PM","Lower","140","R","3","818.1"
"01-03-23 / 03:32 PM","Upper","328","E","6","454.09"
"01-03-23 / 12:19 PM","Upper","309","BB","2","450"
"01-03-23 / 12:19 PM","Middle","240","T","2","832.5"
"01-03-23 / 12:19 PM","Middle","240","S","2","1035"
"01-03-23 / 03:06 AM","Upper","334","H","2","675"
"01-02-23 / 11:24 PM","Upper","343","M","2","517.99"
"01-02-23 / 11:24 PM","Upper","330","AA","2","390"
"01-02-23 / 07:33 PM","Upper","315","W","3","449.1"
"01-02-23 / 07:33 PM","Middle","232","AA","2","787.5"
"01-02-23 / 07:33 PM","Middle","208","J","3","720"
"01-02-23 / 07:33 PM","Field","C","3","2","2115"
"01-02-23 / 07:33 PM","Upper","307","L","3","535.5"
"01-02-23 / 07:33 PM","Upper","318","N","2","360"
"01-02-23 / 12:48 PM","Middle","219","W","1","499.5"
"01-02-23 / 12:48 PM","Lower","118","U","2","450"
"01-02-23 / 12:48 PM","Lower","111","BB","2","889.99"
"01-02-23 / 10:01 AM","Lower","103","AA","2","1080"
"01-02-23 / 04:18 AM","Upper","333","WC","2","900"
"01-01-23 / 09:34 PM","Lower","132","L","2","810"
"01-01-23 / 09:34 PM","Middle","219","X","2","524.77"
"01-01-23 / 06:10 PM","Middle","209","U","2","810"
"01-01-23 / 06:10 PM","Upper","329","E","4","505.57"
"01-01-23 / 06:10 PM","Lower","106","BB","1","899.1"
"01-01-23 / 06:10 PM","Middle","215","A","3","668.85"
"01-01-23 / 03:20 PM","Upper","305","F","2","513"
"01-01-23 / 03:20 PM","Middle","228","A","2","585"
"01-01-23 / 12:30 PM","Lower","107","S","5","1006.86"
"01-01-23 / 09:56 AM","Middle","231","E","2","477"
"12-31-22 / 09:37 PM","Middle","218","G","3","423"
"12-31-22 / 09:37 PM","Middle","240","AA","4","879.67"
"12-31-22 / 06:06 PM","Lower","134","N","1","1023.75"
"12-31-22 / 06:06 PM","Lower","127","L","2","450"
"12-31-22 / 06:06 PM","Lower","118","H","2","540"
"12-31-22 / 06:06 PM","Field","N","5","2","1833.3"
"12-31-22 / 02:47 PM","Middle","203","W","2","584.1"
"12-31-22 / 11:36 AM","Middle","214","BB","1","678.03"
"12-31-22 / 04:59 AM","Lower","150","BB","4","945"
"12-30-22 / 09:45 PM","Lower","143","BB","2","765"
"12-30-22 / 09:45 PM","Middle","202","S","1","900"
"12-30-22 / 06:02 PM","Middle","211","V","2","899.1"
"12-30-22 / 01:58 PM","Lower","143","AA","6","900"
"12-30-22 / 01:58 PM","Field","H","19","2","1285.2"
"12-30-22 / 01:58 PM","Lower","138","BB","6","1080"
"12-30-22 / 01:58 PM","Middle","205","H","6","805.5"
"12-30-22 / 10:07 AM","Upper","319","W","2","378"
"12-29-22 / 11:19 PM","Middle","244","BB","1","477"
"12-29-22 / 11:19 PM","Field","C","19","3","1169.1"
"12-29-22 / 07:29 PM","Upper","318","DD","3","382.5"
"12-29-22 / 07:29 PM","Upper","343","M","2","405"
"12-29-22 / 07:29 PM","Upper","311","K","1","550.65"
"12-29-22 / 07:29 PM","Upper","339","L","1","450"
"12-29-22 / 03:12 PM","Field","K","3","2","989.1"
"12-29-22 / 03:12 PM","Upper","336","V","2","495"
"12-29-22 / 03:12 PM","Upper","307","Y","1","325"
"12-29-22 / 11:34 AM","Upper","336","M","2","405"
"12-29-22 / 11:34 AM","Upper","335","H","3","585"
"12-29-22 / 11:34 AM","Middle","238","M","3","810"
"12-29-22 / 07:45 AM","Field","J","7","1","1300"
"12-29-22 / 07:45 AM","Lower","144","S","1","901.93"
"12-29-22 / 04:26 AM","Lower","147","AA","6","1404"
"12-29-22 / 12:29 AM","Middle","218","J","2","432"
"12-28-22 / 08:21 PM","Upper","330","L","2","450"
"12-28-22 / 08:21 PM","Middle","238","G","2","742.5"
"12-28-22 / 08:21 PM","Upper","340","DD","2","540"
"12-28-22 / 04:25 PM","Middle","235","Y","2","720"
"12-28-22 / 04:25 PM","Lower","149","H","3","1236.75"
"12-28-22 / 12:28 PM","Lower","108","S","2","1195.96"
"12-28-22 / 12:28 PM","Middle","239","V","2","711"
"12-28-22 / 12:28 PM","Field","M","13","2","1385.94"
"12-28-22 / 02:20 AM","Middle","208","DD","2","818.55"
"12-28-22 / 02:20 AM","Field","C","2","2","1798.45"
"12-28-22 / 02:20 AM","Middle","201","CC","6","733.06"
"12-27-22 / 10:30 PM","Middle","238","F","2","697.5"
"12-27-22 / 10:30 PM","Field","F","1","2","1350"
"12-27-22 / 10:30 PM","Field","P","21","2","1890"
"12-27-22 / 03:01 PM","Upper","328","G","2","360"
"12-27-22 / 03:01 PM","Upper","329","Y","2","270"
"12-27-22 / 12:36 AM","Lower","138","K","6","1124.1"
"12-26-22 / 07:30 PM","Lower","138","","2","900"
"12-26-22 / 07:30 PM","Middle","207","X","3","900"
"12-26-22 / 07:30 PM","Field","C","6","6","1993.74"
"12-26-22 / 12:17 PM","Field","A","9","1","1170"
"12-26-22 / 08:07 AM","Middle","203","T","2","630"
"12-26-22 / 04:38 AM","Upper","335","L","3","656.6"
"12-26-22 / 04:38 AM","Field","D","16","1","990"
"12-26-22 / 04:38 AM","Lower","133","WC","2","899.1"
"12-25-22 / 09:49 PM","Upper","340","L","2","445.5"
"12-25-22 / 06:36 PM","Field","K","","2","1800"
"12-25-22 / 06:36 PM","Middle","243","W","3","720"
"12-25-22 / 06:36 PM","Field","C","5","2","1550.2"
"12-25-22 / 06:36 PM","Field","F","11","3","1140.25"
"12-25-22 / 06:36 PM","Lower","126","G","2","630.5"
"12-25-22 / 11:29 AM","Lower","115","WC","2","720"
"12-25-22 / 07:40 AM","Field","K","1","2","1169.1"
"12-25-22 / 07:40 AM","Middle","209","F","2","900"
"12-25-22 / 03:51 AM","Upper","305","S","2","495"
"12-25-22 / 03:51 AM","Upper","334","V","1","585"
"12-25-22 / 03:51 AM","Middle","216","M","3","585"
"12-25-22 / 03:51 AM","Middle","241","AA","2","719.1"
"12-25-22 / 03:51 AM","Upper","319","W","2","378"
"12-25-22 / 03:51 AM","Middle","230","E","1","360"
"12-24-22 / 11:09 PM","Upper","318","AA","3","404.1"
"12-24-22 / 11:09 PM","Lower","106","BB","2","827.55"
"12-24-22 / 11:09 PM","Middle","237","K","2","810"
"12-24-22 / 07:44 PM","Upper","316","P","2","438.23"
"12-24-22 / 07:44 PM","Upper","341","L","2","472.5"
"12-24-22 / 07:44 PM","Middle","245","K","3","642.6"
"12-24-22 / 07:44 PM","Middle","240","AA","6","882.88"
"12-24-22 / 07:44 PM","Upper","308","S","4","646.8"
"12-24-22 / 04:04 PM","Upper","335","C","2","540"
"12-24-22 / 04:04 PM","Lower Suites","LS102","","2","675"
"12-24-22 / 04:04 PM","Lower","109","L","2","1035"
"12-24-22 / 04:04 PM","Upper","329","CC","2","396"
"12-24-22 / 04:04 PM","Upper","311","X","2","494.1"
"12-24-22 / 04:04 PM","Lower","151","T","2","845.37"
"12-24-22 / 04:04 PM","Middle","207","C","2","855"
"12-24-22 / 04:04 PM","Lower","111","R","2","1350"
"12-24-22 / 04:04 PM","Upper","340","T","2","537.35"
"12-24-22 / 04:04 PM","Upper","305","W","2","450"
"12-24-22 / 04:04 PM","Field","C","9","2","1581.75"
"12-24-22 / 05:42 AM","Middle","207","L","2","719.1"
"12-24-22 / 05:42 AM","Upper","341","DD","2","585"
"12-24-22 / 02:03 AM","Upper","338","Y","3","454.5"
"12-24-22 / 02:03 AM","Middle","239","CC","2","900"
"12-24-22 / 02:03 AM","Middle","203","P","2","675"
"12-24-22 / 02:03 AM","Upper","310","J","3","495"
"12-23-22 / 06:34 PM","Field","D","4","2","1620"
"12-23-22 / 06:34 PM","Middle","238","M","2","585"
"12-23-22 / 06:34 PM","Field","P","11","2","1464.7"
"12-23-22 / 06:34 PM","Lower","150","BB","2","742.5"
"12-23-22 / 06:34 PM","Upper","330","DD","2","378"
"12-23-22 / 06:34 PM","Upper","332","Y","1","371.7"
"12-23-22 / 06:34 PM","Lower","108","D","2","877.5"
"12-23-22 / 06:34 PM","Middle","207","N","2","625.5"
"12-23-22 / 06:34 PM","Upper","314","R","1","350.1"
"12-23-22 / 06:34 PM","Upper","318","P","1","292.5"
"12-23-22 / 06:34 PM","Lower","136","K","2","1455"
"12-23-22 / 06:34 PM","Middle","227","F","2","617.11"
"12-23-22 / 10:59 AM","Field","E","10","2","1350"
"12-23-22 / 10:59 AM","Upper","304","DD","2","350"
"12-23-22 / 10:59 AM","Lower","115","Y","4","810"
"12-23-22 / 10:59 AM","Middle","212","AA","3","1358"
"12-23-22 / 07:27 AM","Lower","150","CC","2","769.5"
"12-23-22 / 04:10 AM","Field","C","3","2","2025"
"12-23-22 / 01:39 AM","Middle","232","H","2","697.5"
"12-23-22 / 01:39 AM","Upper","343","DD","2","391.5"
"12-23-22 / 01:39 AM","Upper","312","R","2","637"
"12-23-22 / 01:39 AM","Upper","303","M","2","459"
"12-23-22 / 01:39 AM","Upper","318","AA","3","449.1"
"12-23-22 / 01:39 AM","Upper","304","DD","2","450"
"12-23-22 / 01:39 AM","Upper","333","S","2","878.05"
"12-23-22 / 01:39 AM","Upper","305","DD","2","436.5"
"12-23-22 / 01:39 AM","Lower","109","N","3","891"
"12-23-22 / 01:39 AM","Lower","119","E","2","611.01"
"12-23-22 / 01:39 AM","Field","H","19","2","1518.3"
"12-23-22 / 01:39 AM","Lower","135","Y","6","1795.5"
"12-23-22 / 01:39 AM","Middle","227","U","6","630.5"
"12-23-22 / 01:39 AM","Middle","204","U","2","900"
"12-22-22 / 11:21 AM","Upper","336","W","2","540"
"12-22-22 / 11:21 AM","Upper","317","L","2","363.09"
"12-22-22 / 11:21 AM","Upper","332","N","2","432"
"12-22-22 / 11:21 AM","Upper","336","Z","2","437.4"
"12-22-22 / 07:34 AM","Upper","312","R","2","637"
"12-22-22 / 07:34 AM","Lower","106","N","2","1117.2"
"12-22-22 / 07:34 AM","Lower","150","Y","2","989.8"
"12-22-22 / 07:34 AM","Upper","335","L","3","676.2"
"12-22-22 / 07:34 AM","Upper","335","J","3","695.8"
"12-22-22 / 07:34 AM","Upper","342","G","3","666.4"
"12-22-22 / 07:34 AM","Upper","302","CC","2","612.5"
"12-22-22 / 07:34 AM","Upper","319","Y","2","519.4"
"12-22-22 / 07:34 AM","Upper","302","W","4","661.5"
"12-22-22 / 07:34 AM","Field","K","5","6","2073.52"
"12-22-22 / 07:34 AM","Field","K","15","6","2095.12"
"12-22-22 / 07:34 AM","Field","M","5","2","1710.1"
"12-22-22 / 07:34 AM","Field","E","10","2","1666"
"12-22-22 / 07:34 AM","Lower","140","Y","2","1062.31"
"12-22-22 / 07:34 AM","Field","H","2","2","2939.02"
"12-22-22 / 03:37 AM","Middle","236","C","4","538.2"
"12-22-22 / 03:37 AM","Lower","118","H","2","1542.77"
"12-22-22 / 03:37 AM","Middle","205","J","3","495"
"12-22-22 / 03:37 AM","Upper","305","S","2","436.5"
"12-21-22 / 07:25 PM","Upper","334","Y","2","450"
"12-21-22 / 07:25 PM","Lower","107","S","5","1124.23"
"12-21-22 / 07:25 PM","Lower","109","M","2","1170"
"12-21-22 / 07:25 PM","Upper","316","P","4","438.23"
"12-21-22 / 07:25 PM","Upper","306","P","1","315"
"12-21-22 / 07:25 PM","Upper","343","P","2","449.1"
"12-21-22 / 07:25 PM","Middle","215","H","3","742.5"
"12-21-22 / 07:25 PM","Middle","231","K","2","712.05"
"12-21-22 / 07:25 PM","Lower","131","W","2","765"
"12-21-22 / 07:25 PM","Middle","243","X","3","675"
"12-21-22 / 11:28 AM","Lower","108","G","2","810"
"12-21-22 / 11:28 AM","Upper","329","V","2","359.1"
"12-21-22 / 11:28 AM","Upper","330","DD","2","373.5"
"12-21-22 / 11:28 AM","Field","M","3","6","1770.02"
"12-21-22 / 07:22 AM","Field","A","31","5","1519.04"
"12-21-22 / 03:38 AM","Middle","227","N","3","540"
"12-21-22 / 03:38 AM","Middle","202","H","2","629.99"
"12-21-22 / 03:38 AM","Upper","314","T","2","400.5"
"12-21-22 / 03:38 AM","Upper","305","W","1","450"
"12-20-22 / 11:57 PM","Lower","150","BB","2","738"
"12-20-22 / 11:57 PM","Field","B","10","3","1649.83"
"12-20-22 / 11:57 PM","Upper","305","W","1","405"
"12-20-22 / 07:53 PM","Field","A","25","2","2659.5"
"12-20-22 / 07:53 PM","Lower","108","D","3","900"
"12-20-22 / 02:50 PM","Upper","329","AA","2","351"
"12-20-22 / 02:50 PM","Upper","312","L","2","580.5"
"12-20-22 / 02:50 PM","Upper","319","W","4","396"
"12-20-22 / 02:50 PM","Lower","118","AA","2","450"
"12-20-22 / 02:50 PM","Middle","243","F","2","749.08"
"12-20-22 / 02:50 PM","Middle","235","H","2","900"
"12-20-22 / 02:07 AM","Field","J","31","2","810"
"12-20-22 / 02:07 AM","Lower","149","H","2","1080"
"12-20-22 / 02:07 AM","Lower","107","U","2","855"
"12-20-22 / 02:07 AM","Upper","343","DD","2","382.5"
"12-20-22 / 02:07 AM","Lower","138","K","2","949.4"
"12-20-22 / 02:07 AM","Lower","119","N","2","675"
"12-20-22 / 02:07 AM","Lower","147","L","2","899.1"
"12-19-22 / 04:45 PM","Lower","133","Z","2","1170"
"12-19-22 / 04:45 PM","Upper","310","BB","5","584.99"
"12-19-22 / 04:45 PM","Middle","203","P","2","630"
"12-19-22 / 04:45 PM","Lower","108","Z","4","989.9"
"12-19-22 / 11:57 AM","Lower","132","CC","2","809.1"
"12-19-22 / 11:57 AM","Middle","207","V","4","891"
"12-19-22 / 11:57 AM","Upper","306","P","2","495"
"12-19-22 / 07:30 AM","Field","Q","20","2","1380"
"12-19-22 / 03:29 AM","Middle","211","F","3","1224.64"
"12-19-22 / 03:29 AM","Upper","329","S","4","391.5"
"12-19-22 / 03:29 AM","Lower","110","S","2","989.1"
"12-19-22 / 03:29 AM","Upper","339","R","4","540"
"12-18-22 / 10:25 PM","Field","L","16","2","1035"
"12-18-22 / 05:50 PM","Upper","305","F","2","400.5"
"12-18-22 / 05:50 PM","Middle","206","F","2","585"
"12-18-22 / 05:50 PM","Upper","330","E","1","319.5"
"12-18-22 / 05:50 PM","Middle","227","F","3","450"
"12-18-22 / 05:50 PM","Upper","342","DD","2","514.5"
"12-18-22 / 05:50 PM","Lower","138","D","2","1020.61"
"12-18-22 / 05:50 PM","Lower","109","U","3","1078.64"
"12-18-22 / 01:22 PM","Lower","113","C","1","1125"
"12-18-22 / 01:22 PM","Middle","227","G","2","617.11"
"12-18-22 / 01:22 PM","Upper","316","R","2","419.47"
"12-18-22 / 04:37 AM","Upper","319","W","2","373.5"
"12-18-22 / 04:37 AM","Upper","316","S","2","416.51"
"12-18-22 / 12:17 AM","Lower","149","L","3","1151.79"
"12-18-22 / 12:17 AM","Lower","138","K","3","900"
"12-17-22 / 07:22 PM","Upper","327","BB","2","382.5"
"12-17-22 / 07:22 PM","Upper","306","P","2","472.5"
"12-17-22 / 07:22 PM","Lower","109","S","2","948.66"
"12-17-22 / 07:22 PM","Middle","201","Z","2","405"
"12-17-22 / 02:39 PM","Field","Q","32","4","1350"
"12-17-22 / 02:39 PM","Field","G","22","4","1198.6"
"12-17-22 / 05:23 AM","Lower","150","W","2","751.65"
"12-17-22 / 12:53 AM","Middle","239","V","2","495"
"12-17-22 / 12:53 AM","Upper","303","DD","4","396"
"12-17-22 / 12:53 AM","Field","H","9","4","1472"
"12-17-22 / 12:53 AM","Middle","240","S","3","720"
"12-16-22 / 07:42 PM","Field","H","10","3","1575"
"12-16-22 / 07:42 PM","Middle","211","F","3","900"
"12-16-22 / 02:35 PM","Middle","227","Y","2","468"
"12-16-22 / 02:35 PM","Upper","314","WC","2","337.5"
"12-16-22 / 02:35 PM","Upper","342","E","2","450"
"12-16-22 / 02:35 PM","Upper","342","T","2","360"
"12-16-22 / 09:43 AM","Upper","338","CC","1","270"
"12-16-22 / 09:43 AM","Lower","115","Y","4","990"
"12-16-22 / 05:22 AM","Upper","330","E","1","357.93"
"12-16-22 / 12:44 AM","Field","D","16","1","900"
"12-16-22 / 12:44 AM","Upper","333","V","6","585"
"12-16-22 / 12:44 AM","Lower","135","B","2","1350"
"12-16-22 / 12:44 AM","Lower","112","Y","4","1540.8"
"12-15-22 / 07:45 PM","Upper","312","R","6","656.6"
"12-15-22 / 02:17 PM","Lower","110","R","2","855"
"12-15-22 / 02:17 PM","Upper","303","DD","2","382.5"
"12-15-22 / 02:17 PM","Middle","228","T","2","675"
"12-15-22 / 12:41 AM","Lower","113","Z","2","1260"
"12-15-22 / 12:41 AM","Upper","327","Y","2","675"
"12-15-22 / 12:41 AM","Field","P","15","4","2160"
"12-15-22 / 12:41 AM","Upper","339","L","2","496.8"
"12-15-22 / 12:41 AM","Lower","137","BB","3","1177.32"
"12-14-22 / 07:30 PM","Middle","211","V","2","899.1"
"12-14-22 / 07:30 PM","Upper","302","Z","2","484.03"
"12-14-22 / 07:30 PM","Upper","331","G","1","315"
"12-14-22 / 02:18 PM","Field","C","5","2","1703.59"
"12-14-22 / 02:18 PM","Middle","205","N","2","585"
"12-14-22 / 09:33 AM","Field","Q","20","3","1380"
"12-14-22 / 05:25 AM","Field","K","7","1","2070"
"12-14-22 / 05:25 AM","Lower","138","W","6","1645.87"
"12-14-22 / 05:25 AM","Lower","127","U","2","585"
"12-14-22 / 05:25 AM","Upper","319","DD","2","899.1"
"12-14-22 / 01:10 AM","Lower","146","X","4","881.18"
"12-13-22 / 07:55 PM","Middle","219","Z","2","632.39"
"12-13-22 / 07:55 PM","Upper","312","M","2","450"
"12-13-22 / 07:55 PM","Upper","335","T","2","535.5"
"12-13-22 / 03:12 PM","Lower","108","WC","3","900"
"12-13-22 / 03:12 PM","Field","F","17","2","1710"
"12-13-22 / 03:12 PM","Lower","146","P","1","1530"
"12-13-22 / 03:12 PM","Lower","111","H","4","1530"
"12-13-22 / 03:12 PM","Middle","216","X","2","540"
"12-13-22 / 03:12 PM","Middle","238","Y","2","767.7"
"12-13-22 / 03:12 PM","Upper","327","M","2","527.68"
"12-13-22 / 06:06 AM","Middle","203","V","3","765"
"12-13-22 / 06:06 AM","Middle","235","V","2","720"
"12-13-22 / 06:06 AM","Upper","316","J","2","449.09"
"12-13-22 / 06:06 AM","Upper","339","BB","1","349.2"
"12-13-22 / 06:06 AM","Upper","342","BB","2","427.5"
"12-13-22 / 06:06 AM","Upper","328","D","3","513"
"12-13-22 / 06:06 AM","Lower","139","U","2","810"
"12-13-22 / 06:06 AM","Upper","318","E","2","482.3"
"12-13-22 / 06:06 AM","Upper","313","F","2","900"
"12-13-22 / 06:06 AM","Field","H","7","2","1500"
"12-13-22 / 06:06 AM","Field","H","118","2","900"
"12-13-22 / 06:06 AM","Middle","227","Y","2","432"
"12-13-22 / 06:06 AM","Field","G","22","6","1198.6"
"12-12-22 / 04:04 PM","Field","Q","29","2","1186.75"
"12-12-22 / 04:04 PM","Middle","206","C","2","719.1"
"12-12-22 / 04:04 PM","Upper","340","AA","2","450"
"12-12-22 / 04:04 PM","Field","A","31","2","2047.5"
"12-12-22 / 04:04 PM","Upper","302","Y","1","337.5"
"12-12-22 / 04:04 PM","Upper","331","R","2","400.5"
"12-12-22 / 04:04 PM","Lower","111","Y","2","1664.1"
"12-12-22 / 11:12 AM","Field","M","11","2","1443.42"
"12-12-22 / 01:48 AM","Middle","208","N","2","674.42"
"12-12-22 / 01:48 AM","Upper","343","DD","2","405"
"12-12-22 / 01:48 AM","Upper","342","CC","4","514.5"
"12-11-22 / 07:58 PM","Upper","341","T","2","360"
"12-11-22 / 07:58 PM","Upper","339","L","1","360"
"12-11-22 / 03:09 PM","Upper","339","L","2","503.1"
"12-11-22 / 03:09 PM","Lower","131","F","1","540"
"12-11-22 / 03:09 PM","Upper","333","F","3","640.2"
"12-11-22 / 03:09 PM","Middle","207","H","3","810"
"12-11-22 / 10:26 AM","Lower","114","Y","2","1044.34"
"12-11-22 / 05:59 AM","Field","L","18","3","1395"
"12-11-22 / 01:10 AM","Upper","313","BB","2","495"
"12-10-22 / 07:51 PM","Middle","215","R","2","540"
"12-10-22 / 07:51 PM","Upper","307","F","2","405"
"12-10-22 / 07:51 PM","Field","K","7","2","1225"
"12-10-22 / 07:51 PM","Field","E","7","6","1580.27"
"12-10-22 / 02:38 PM","Field","P","4","1","1800"
"12-10-22 / 02:38 PM","Upper","341","","2","378"
"12-10-22 / 02:38 PM","Upper","302","DD","6","514.5"
"12-10-22 / 02:38 PM","Upper","302","Z","2","513.13"
"12-10-22 / 09:50 AM","Field","F","11","2","895.5"
"12-10-22 / 05:52 AM","Upper","330","Z","2","360"
"12-10-22 / 01:22 AM","Middle","239","F","2","675"
"12-09-22 / 08:27 PM","Upper","332","Y","3","371.7"
"12-09-22 / 08:27 PM","Lower","143","Y","2","909"
"12-09-22 / 03:51 PM","Upper","341","","2","373.5"
"12-09-22 / 03:51 PM","Upper","304","G","2","495"
"12-09-22 / 03:51 PM","Upper","338","CC","3","450"
"12-09-22 / 11:27 AM","Lower","151","G","2","1327.5"
"12-09-22 / 11:27 AM","Upper","340","G","6","688.31"
"12-09-22 / 04:10 AM","Upper","335","AA","2","585"
"12-09-22 / 12:18 AM","Upper","305","DD","3","360"
